id,brand
1,IMSA
2,NACIONAL
3,ERPLA/ KALOP/ UPERCAB
4,PRYSMIAN
5,EPUYEN
6,INDUSIL
7,BELDEN
8,INDECA
9,MARLEW
10,MULTICABLE
11,ELKA
12,HANSEN
13,TRANSLINE
14,COELPLA
15,CH
16,SIN MARCA
17,AMERAU
18,DIBAPLAST
19,NCLO
20,ANICOR
21,COMPUTEL
22,BELTRAM
23,PR ELECTRONICA
24,FIBOSA
25,FINDER
26,SIXELECTRIC**
27,VIYILANT
28,HOYOS
29,KALOP
30,DEXSON
31,ELECTROCANAL
32,ROKER
33,CONEXTUBE
34,SCAME
35,SCHNEIDER
36,EXULTT
37,GEN ROD
38,GEN ROD LH
39,STECK
40,WELT
41,HELLERMANN
42,NACIONAL
43,TABLEPLAST
44,IMPORTADO
45,PRONEXT
46,SICA
47,ITAL AIR
48,KUDU
49,TST
50,AXION CONECT
51,CAMBRE
52,MIG
53,RICHI
54,RIDRU
55,LUMNIA
56,CONTROL SISTEMAS
57,WALVI
58,AURELIA
59,DUMONT
60,GRALF
61,LED
62,MACROLED
63,MEGALITE
64,MIKROTIK
65,SIEMENS
66,SIERA
67,SIXTECH
68,WEIDMULLER
69,ITALAVIA
70,KINGVOX
71,LED LIGHT
72,GC
73,MB
74,CIPPSAM
75,EROCCA
76,BAW
77,GRASSLIN
78,SECUEN
79,SURPLAST
80,ELECTRONICA ARGENTINA
81,PLASNAVI
82,JELUZ
83,PREMIER
84,RBC-SITEL
85,MAR
86,ODA
87,VEYKA
88,TECLASTAR
89,PLASTIL
90,ELECMAN
91,POLITUB
92,ZEPOLARG
93,ELVIPLAST
94,GEWISS
95,PERCANPLAST
96,SIXELECTRIC
97,GB GABAL
98,PORCELETRIC
99,EKWAN
100,SAN JUSTO
101,DAVIPLAST
102,DF
103,CAVALIERI
104,HUAYRA
105,ZURICH
106,RM
107,SYBYD
108,PINI
109,ASC
110,MJK
111,TACSA
112,MEGARED
113,TEL-COM
114,ELECTROMECANICA BRENTA SA
115,CIRCUTOR
116,NOLLMAN
117,PHOENIX CONTACT
118,VKCO
119,CORILUX
120,ATLANTIC COAXIL
121,GENERICO
122,REGUVOLT
123,TBCIN
124,HISSUMA
125,CALLSEG ENERGY
126,AISMEC
127,TEA
128,VARIOS
129,ED
130,FULL ENERGY
131,M55
132,WD-40
133,EPOXIFORMAS
134,FAPA
135,AVATOR
136,3M
137,VINI TAPE
138,SUYE
139,NEXANS
140,POWERCOM
141,RAYCHEM
142,UBEMO
143,SALKOR
144,ARGENSAFE
145,IRIMO
146,MEIGE
147,PROSKIT
148,ZELTA
149,KRAFTEX
150,FISCHER
151,NODULO
152,POXIPOL
153,SUPRABOND
154,SASSIN
155,EG -HONDA
156,DAEWOO
157,FUSSE-LCT
158,KRONE
159,BAHCO
160,BELARRA
161,BOSCH
162,ESEBE
163,SAN REMO
164,VESUBIO
165,NEO
166,BROTHER
167,TELEMECANIQUE
168,K-23
169,ENERGIZER
170,EVEREADY
171,RAYOVAC
172,NETMAK
173,VAPEX
174,FONELEC
175,RCA
176,TCL
177,ENERGY SAFE
178,LILIANA
179,AXEL
180,LUMER
181,MAGICLICK
182,WINDLUX
183,PECCININ
184,SEG
185,MOTIC
186,POLI AUTO
187,SIX DECO
188,BTF
189,TILCARA
190,ALIC
191,STAND BY
192,COOLBRAND
193,MAYVA
194,GEISER
195,RACSOL
196,WAMCO
197,GELECTRIC
198,GEVELUX
199,MERIZA
200,GAMASONIC
201,ILUMROS
202,TICAR - LUCCIOLA
203,ARTELUM
204,CANDIL
205,EDEN
206,FW
207,PROLUM
208,RONDA
209,SPOTS LINE
210,LUMENAC
211,PHILIPS
212,EIS
213,LCI
214,ALBERTI
215,BRIMPEX
216,CARILUX
217,CERAMICA FLOREAL
218,CRISTALERIA NICOLAS
219,DOÑA3D
220,INTEAR
221,MARKAS
222,VIGNOLO
223,DABOR
224,BAEL
225,DIMEC
226,FAROLUZ
227,FRIHEL
228,LANIN
229,SP
230,YLX
231,EUROPA LUX
232,MACH
233,PROBATTERY
234,GAM
235,LEUK
236,PUNTO ILUM
237,RHOMI
238,FUINYTER
239,CENTILUX
240,LEDSCENE
241,LUMINIS
242,TIEMPO ATRAS
243,ESTILO COLONIAL
244,EURO LUX
245,FERROLUX
246,FINIBAL
247,PILA
248,TECHNIC
249,CABRERA
250,ECLIPSE
251,FAP
252,FERRE
253,MARPLASTIC
254,MEGA PLAST
255,180 ILUMINACION
256,ANTARES
257,ARA ILUMINACION
258,BETILUZ
259,CIVAL
260,COLOR CALIDO
261,DON - BELL
262,ELECTRO CE
263,FIUMINE
264,GMGE
265,ILDEM
266,ILUM INTEGRAL
267,ILUMARGENTINA
268,INGLUMINICA
269,LAUDA
270,LEDS GROUP
271,LINEA NOVA
272,LOMAS LUX
273,LUMMINO
274,LUZ DEL SIGLO
275,MAGNALUM
276,MANFRONI
277,TECNOSAN
278,TERMO-FORM
279,TH ILUMINACION
280,URBANO
281,VER ILUMINACION
282,VINTAGE LAMPS
283,IKON
284,PURO ILUMINACION
285,LUZ VERDE
286,EUROPATAGONICA
287,KLIK
288,MARAÑA
289,YVIMOSLALUZ
290,BERCOR LUZ
291,EORI
292,IDOLER
293,ILUTEC
294,INDULAR
295,STAR NOVA
296,CENTRAL SOLAR
297,LITEX
298,SILVERLIGHT
299,ARTEKROM
300,BIROT
301,AGUSTIN RUSTICO
302,GSG DESING
303,LA FELIZ
304,LETT
305,ND
306,VOLTIO
307,VS
308,LEYMAR
309,WORLDLEDSGO
310,ELECTROLUX
311,I-LED
312,MAYROLUZ
313,DAISA
314,KONDUSEAL
315,ARGENFLEX
316,ELIBET
317,MERLIN GERIN
318,ETI
319,MONTERO
320,ABB
321,SANYU
322,BALLUFF
323,SAMET
324,ELENT
325,PADO
326,WOHNER
327,NOLLFLEX
328,DP
329,CGB
330,FORZA
331,HILTRON
332,MICROCELL
333,POWERSAFE
334,PRESS
335,YUASA
336,LEYDEN
337,EIA
338,AEA
339,LS
340,VEFBEN
341,OMRON
342,HIMEL
343,SOULE
344,SUNON
345,DELGA
346,9 DE JULIO
347,RITTAL
348,TECNOBOX
349,SISAGRIP
350,ACERTUBO
351,ELECTRIFLEX
352,AB
353,DUCATI
354,MINDEL
355,PAMPACO
356,ALRE
357,DANFOS
358,FANTINI-COSMI
359,DILETTA
360,NOVUS
361,MATRERO
362,PICANA
363,SINOMETER
364,CONTEC
365,CZERWENY
366,METAL-CE
367,EN
368,BRONAL
369,FUSITRON
370,SEMIKRON
371,C-FUSS
372,BUSSMANN
373,PFISTERER
374,APC
375,DAHUA
376,PANACOM
377,WESTER DIGITAL
378,NICOM
379,COMAR
380,UNI-T
381,YU-FONG
382,SUNWA
383,BRYMEN
384,FLUKE
385,SOCOMEC
386,SILGE ELCTRONICA
387,HOLEC
388,ILGA
389,HYUNDAI
390,GABEXEL
391,SENSE
392,SUNX
393,HOHNER
394,VARDE
395,KINCO
396,CELLITRON
397,RHOMBERG BRASLER
398,ELEK UNISTAR
399,JCM
400,BAOFENG
401,GENEVE
402,METALGRAB
403,MICROSOFT
404,MAQ
405,NEXXT
406,OSRAM
407,DLM
408,FRANCE
409,TECHNOLAMP
410,LXR
411,USHIO
412,LUMI
413,SPL
414,SYLVANIA
415,TOSHIBA
416,BICC GENERAL
417,ACTASSI
418,FURUKAWA
419,NETQUALITY
420,XTECH
421,AMP
422,AMPHENOL
423,HIKVISION
424,JACAL
425,PPC
426,UBIQUITI
427,AIRLIVE
428,GLC
429,MASNET
430,MICRON OPTICS
431,OPTEL
432,TP LINK
433,LEGRAND
434,SIEMON
435,CYMEM
436,HYPERLINK
437,IPH
438,MICROAXIAL
439,NRD
440,TORREFE
441,TORRESUR
442,EIFFEL
443,ENTERASYS
444,MOTOROLA
445,MULTILINK
446,NOVATEL
447,ADECOMM
448,EXEMYS
449,GARRETTCOM
450,MOXA
451,MITTO
452,MERCUSYS
453,ARUBA
454,CISCO
455,EXTREME
456,HIRSCHMANN
457,MICRONET
458,MICRO - KEY
459,TELESTOP
460,SURELECTRIC
461,FICATTO
462,LYONN
463,BRONLUZ
464,DEL CAMPO
465,MAR-T
466,XULUX
467,DSC
468,ELMES
469,HONEYWELL
470,MARSHALL
471,NETIO
472,BENTEL
473,ALEPH
474,ALONSO
475,IR BEAM
476,OPTEX
477,TAKEX
478,HECKER
479,LG
480,ADATA
481,EZVIZ
482,KINGSTON
483,SANDISK
484,COMMAX
485,LUBER
486,ZKTECO
487,SEAGATE
488,INIM
489,KOCOM
490,TELOESTE
491,H INTERCOM
492,FANVIL
493,YEASTAR
494,PANASONIC
495,GIGASET
496,HAL - TEL
497,MCA
498,RAMY
499,TRANSITO
500,MP
501,GASTALDI
502,HUBBELL
503,INDELMEC
504,PROSBEL
