,name,description,vat,nonvatPrice,discount,category_id,subcategory_id,brand_id,stock,stock_min,image
0,,CONT.TETR.  29Kw. 25A.220 CL03A400MN,21.0,84.09599195530727,0,10,121,,0,0,img-default-SALDOS.jpg
1,,CONT.TETR.  5.5Kw. 12A.220 CL01A400TN,21.0,50.06094808193669,0,10,121,,0,0,img-default-SALDOS.jpg
2,,CONT.TRIP.  4  Kw.  9A.     CL00A310T,21.0,27.419222346368716,0,10,121,,0,0,img-default-SALDOS.jpg
3,,CONT.TRIP.  5.5Kw. 12A.     CL01A310T,21.0,30.903902122905027,0,10,121,,0,0,img-default-SALDOS.jpg
4,,CONT.TRIP.  7.5Kw. 18A.     CL02A310T,21.0,40.55146696461825,0,10,121,,0,0,img-default-SALDOS.jpg
5,,CONT.TRIP. 12  Kw. 25A.     CL03A310M,21.0,72.27613437616387,0,10,121,,0,0,img-default-SALDOS.jpg
6,,CONT.TRIP. 16  Kw. 32A.     CL04A310M,21.0,142.82736,0,10,121,,0,0,img-default-SALDOS.jpg
7,,CONT.TRIP. 22  Kw. 50A.     CL06A311M,21.0,297.60446912476726,0,10,121,,0,0,img-default-SALDOS.jpg
8,,CONT.TRIP. 30  Kw. 65A.     CL07A311M,21.0,383.86847567970204,0,10,121,,0,0,img-default-SALDOS.jpg
9,,CONT.TRIP. 37  Kw. 80A.     CL08A311M,21.0,483.5777591061452,0,10,121,,0,0,img-default-SALDOS.jpg
10,,CONT.TRIP. 45  Kw. 95A.     CL09A311M,21.0,582.3341100931099,0,10,121,,0,0,img-default-SALDOS.jpg
11,,CONT.TRIP. 75  Kw.150A.    CK75CA311D,21.0,1015.8991639478585,0,10,121,,0,0,img-default-SALDOS.jpg
12,,CONT.TRIP. 90  Kw.185A.    CK08BA311N,21.0,1547.8480067039106,0,10,121,,0,0,img-default-SALDOS.jpg
13,,CONT.TRIP.110  Kw.205A.    CK85BA311J,21.0,1842.6216229422719,0,10,121,,0,0,img-default-SALDOS.jpg
14,,CONT.TRIP.132  Kw.250A.    CK09BE311J,21.0,1914.3969421229049,0,10,121,,0,0,img-default-SALDOS.jpg
15,,MINICONT.TRIP.  4Kw.9A.     MC1A310AT,21.0,27.593078584729984,0,10,121,,0,0,img-default-SALDOS.jpg
16,,MINICONT.TRIP.2.2Kw.6A.     MC0A310AT,21.0,27.593078584729984,0,10,121,,0,0,img-default-SALDOS.jpg
17,,RELE TERM.    8   -  12    A.    RT1N,21.0,48.98859188081937,0,10,121,,0,0,img-default-SALDOS.jpg
18,,RELE TERM.   0.11 -   0.17 A.   MTO3A,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
19,,RELE TERM.   0.17 -   0.26 A.   MTO3B,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
20,,RELE TERM.   0.26 -   0.43 A.   MTO3C,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
21,,RELE TERM.   0.43 -   0.65 A.   MTO3D,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
22,,RELE TERM.   0.65 -   1.00 A.   MTO3E,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
23,,RELE TERM.   0.85 -   1.30 A.   MTO3F,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
24,,RELE TERM.   1    -   1.5  A.    RT1G,21.0,48.98859188081937,0,10,121,,0,0,img-default-SALDOS.jpg
25,,RELE TERM.   1.10 -   1.60 A.   MTO3G,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
26,,RELE TERM.   1.35 -   2.00 A.   MTO3H,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
27,,RELE TERM.   1.70 -   2.40 A.   MTO3I,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
28,,RELE TERM.   10   -  16    A.    RT1P,21.0,48.98859188081937,0,10,121,,0,0,img-default-SALDOS.jpg
29,,RELE TERM.   2.20 -   3.20 A.   MTO3J,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
30,,RELE TERM.   2.50 -   4.00 A.   MTO3R,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
31,,RELE TERM.   21   -  26    A.    RT1U,21.0,69.32003217877096,0,10,121,,0,0,img-default-SALDOS.jpg
32,,RELE TERM.   25   -  32    A.    RT1V,21.0,69.32003217877096,0,10,121,,0,0,img-default-SALDOS.jpg
33,,RELE TERM.   3.00 -   4.70 A.   MTO3K,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
34,,RELE TERM.   30   -  40    A.    RT1W,21.0,69.32003217877096,0,10,121,,0,0,img-default-SALDOS.jpg
35,,RELE TERM.   4.00 -   6.30 A.   MTO3L,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
36,,RELE TERM.   5.5  -   8.5  A.    RT1M,21.0,48.98859188081937,0,10,121,,0,0,img-default-SALDOS.jpg
37,,RELE TERM.   5.50 -   8.00 A.   MTO3M,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
38,,RELE TERM.   7.50 -  10.5  A.   MTO3N,21.0,57.59975508379888,0,10,121,,0,0,img-default-SALDOS.jpg
39,,RELE TERM.  14.5  -  18    A.    RT1S,21.0,48.98859188081937,0,10,121,,0,0,img-default-SALDOS.jpg
40,,RELE TERM.  17.5  -  22    A.    RT1T,21.0,69.32003217877096,0,10,121,,0,0,img-default-SALDOS.jpg
41,,RELE TERMICO 36-42A RT2E,21.0,191.45431270018622,0,10,121,,0,0,img-default-SALDOS.jpg
42,,PLAFON 15cm. Bco.Texturado  915,21.0,2.16264417132216,0,10,121,463,0,0,img-default-SALDOS.jpg
43,,PLAFON 20cm. Bce.Cepill./Platil  920,21.0,3.883001713221601,0,10,121,463,0,0,img-default-SALDOS.jpg
44,,PLAFON 25cm. Bce.Cepill./Platil  925,21.0,5.029906741154563,0,10,121,463,0,0,img-default-SALDOS.jpg
45,,PLAFON 25cm. Bco.Texturado  925,21.0,3.9649235009310986,0,10,121,463,0,0,img-default-SALDOS.jpg
46,,APLIQ.PARED MOVIL C/PANT.VID. PLISE,21.0,81.09929296089385,0,10,121,223,0,0,img-default-SALDOS.jpg
47,,DIFUSOR PARED CUARZO CROMO ECLIPSE,21.0,27.800431731843574,0,10,121,223,0,0,img-default-SALDOS.jpg
48,,COLG.H Y M 1 LUZ PANT.LINO 336L,21.0,13.106575791433892,0,10,121,464,0,0,img-default-SALDOS.jpg
49,,APLIQUE  1 LUZ         BCE.CEP. AP07/1,21.0,57.72418517690875,0,10,121,261,0,0,img-default-SALDOS.jpg
50,,PLAFON TALLADO  25CM.   PLATIL  8852,21.0,1.9978903538175048,0,10,121,262,0,0,img-default-SALDOS.jpg
51,,PLAFON TALLADO  30CM.   PLATIL  8853,21.0,2.77259739292365,0,10,121,262,0,0,img-default-SALDOS.jpg
52,,APLIQUE 1 LUZ C/VIDRIO. PLATIL. MOD  171,21.0,37.564143463687145,0,10,121,231,0,0,img-default-SALDOS.jpg
53,,COLGANTE DONA 1 LUZ OPAL SAT. 071/1,21.0,25.75366137802607,0,10,121,231,0,0,img-default-SALDOS.jpg
54,,VELADOR C/GLOBO 6X10 G9 437/V/G,21.0,34.35199016759776,0,10,121,231,0,0,img-default-SALDOS.jpg
55,,APLIQ.I LUZ OXIDO C/TUL.Z-39 AP-140D,21.0,24.87500469273743,0,10,121,245,0,0,img-default-SALDOS.jpg
56,,ARAÑA 3LUC.OXIDO PANT.TOST.A-337 D,21.0,35.73246331471136,0,10,121,245,0,0,img-default-SALDOS.jpg
57,,PLAFON  CURVO   30CM.COLOR   PLC/30,21.0,29.16397437616387,0,10,121,265,0,0,img-default-SALDOS.jpg
58,,PLAFON 4 LUC.G9 CUAD.NIQUEL 300/4 CUAD.,21.0,99.37294897579143,0,10,121,265,0,0,img-default-SALDOS.jpg
